# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.426853707   10.759064266   10.759069304   10.759064706
    3.486973948   10.606710982   10.606715935   10.606711438
    3.547094188   10.456983903   10.456988773   10.456984375
    3.607214429   10.309864216   10.309869005   10.309864705
    3.667334669   10.165330360   10.165335070   10.165330865
    3.727454910   10.023358317   10.023362952   10.023358840
    3.787575150    9.883921892    9.883926452    9.883922432
    3.847695391    9.746992955    9.746997443    9.746993512
    3.907815631    9.612541684    9.612546101    9.612542259
    3.967935872    9.480536776    9.480541126    9.480537369
    4.028056112    9.350945651    9.350949934    9.350946261
    4.088176353    9.223734628    9.223738846    9.223735256
    4.148296593    9.098869100    9.098873255    9.098869746
    4.208416834    8.976313687    8.976317781    8.976314350
    4.268537074    8.856032376    8.856036409    8.856033056
    4.328657315    8.737988651    8.737992627    8.737989349
    4.388777555    8.622145615    8.622149535    8.622146330
    4.448897796    8.508466094    8.508469957    8.508466825
    4.509018036    8.396912733    8.396916543    8.396913482
    4.569138277    8.287448092    8.287451850    8.287448857
    4.629258517    8.180034721    8.180038428    8.180035503
    4.689378758    8.074635235    8.074638892    8.074636033
    4.749498998    7.971212378    7.971215986    7.971213192
    4.809619238    7.869729085    7.869732645    7.869729914
    4.869739479    7.770148530    7.770152044    7.770149375
    4.929859719    7.672434178    7.672437647    7.672435038
    4.989979960    7.576549824    7.576553250    7.576550700
    5.050100200    7.482459633    7.482463015    7.482460522
    5.110220441    7.390128166    7.390131507    7.390129070
    5.170340681    7.299520418    7.299523717    7.299521336
    5.230460922    7.210601835    7.210605094    7.210602767
    5.290581162    7.123338339    7.123341560    7.123339285
    5.350701403    7.037696348    7.037699531    7.037697307
    5.410821643    6.953642787    6.953645932    6.953643758
    5.470941884    6.871145104    6.871148213    6.871146088
    5.531062124    6.790171281    6.790174354    6.790172277
    5.591182365    6.710689839    6.710692877    6.710690847
    5.651302605    6.632669848    6.632672852    6.632670868
    5.711422846    6.556080932    6.556083902    6.556081962
    5.771543086    6.480893267    6.480896204    6.480894308
    5.831663327    6.407077588    6.407080494    6.407078640
    5.891783567    6.334605188    6.334608062    6.334606250
    5.951903808    6.263447914    6.263450758    6.263448986
    6.012024048    6.193578169    6.193580983    6.193579252
    6.072144289    6.124968908    6.124971693    6.124970000
    6.132264529    6.057593633    6.057596389    6.057594734
    6.192384770    5.991426388    5.991429116    5.991427498
    6.252505010    5.926441758    5.926444458    5.926442876
    6.312625251    5.862614857    5.862617530    5.862615984
    6.372745491    5.799921329    5.799923975    5.799922464
    6.432865731    5.738337333    5.738339954    5.738338476
    6.492985972    5.677839544    5.677842140    5.677840695
    6.553106212    5.618405141    5.618407711    5.618406298
    6.613226453    5.560011798    5.560014344    5.560012963
    6.673346693    5.502637681    5.502640203    5.502638853
    6.733466934    5.446261436    5.446263934    5.446262614
    6.793587174    5.390862182    5.390864656    5.390863366
    6.853707415    5.336419501    5.336421953    5.336420691
    6.913827655    5.282913432    5.282915862    5.282914628
    6.973947896    5.230324463    5.230326871    5.230325664
    7.034068136    5.178633518    5.178635904    5.178634724
    7.094188377    5.127821951    5.127824316    5.127823163
    7.154308617    5.077871540    5.077873884    5.077872756
    7.214428858    5.028764473    5.028766797    5.028765694
    7.274549098    4.980483344    4.980485648    4.980484569
    7.334669339    4.933011141    4.933013426    4.933012371
    7.394789579    4.886331242    4.886333507    4.886332476
    7.454909820    4.840427400    4.840429646    4.840428638
    7.515030060    4.795283743    4.795285970    4.795284984
    7.575150301    4.750884757    4.750886966    4.750886002
    7.635270541    4.707215286    4.707217477    4.707216534
    7.695390782    4.664260518    4.664262691    4.664261769
    7.755511022    4.622005979    4.622008135    4.622007233
    7.815631263    4.580437529    4.580439667    4.580438785
    7.875751503    4.539541347    4.539543468    4.539542606
    7.935871743    4.499303931    4.499306035    4.499305192
    7.995991984    4.459712084    4.459714173    4.459713348
    8.056112224    4.420752914    4.420754986    4.420754179
    8.116232465    4.382413819    4.382415875    4.382415086
    8.176352705    4.344682486    4.344684527    4.344683756
    8.236472946    4.307546883    4.307548908    4.307548154
    8.296593186    4.270995250    4.270997260    4.270996522
    8.356713427    4.235016094    4.235018089    4.235017368
    8.416833667    4.199598184    4.199600164    4.199599458
    8.476953908    4.164730541    4.164732507    4.164731817
    8.537074148    4.130402436    4.130404388    4.130403713
    8.597194389    4.096603383    4.096605320    4.096604661
    8.657314629    4.063323130    4.063325054    4.063324408
    8.717434870    4.030551658    4.030553567    4.030552936
    8.777555110    3.998279170    3.998281066    3.998280449
    8.837675351    3.966496092    3.966497975    3.966497371
    8.897795591    3.935193062    3.935194932    3.935194342
    8.957915832    3.904360929    3.904362785    3.904362208
    9.018036072    3.873990743    3.873992587    3.873992022
    9.078156313    3.844073756    3.844075587    3.844075035
    9.138276553    3.814601412    3.814603231    3.814602691
    9.198396794    3.785565346    3.785567153    3.785566625
    9.258517034    3.756957378    3.756959172    3.756958656
    9.318637275    3.728769506    3.728771288    3.728770783
    9.378757515    3.700993906    3.700995677    3.700995183
    9.438877756    3.673622925    3.673624684    3.673624202
